#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"A_Zmax(1) [Mag]"	"A_Zmax(1) [Pha / deg]"
#-----------------------------------------------------------
23605705.354331	0.85857558567814	0.0000000000000
23624307.171001	0.85988220448837	0.0000000000000
23642938.328076	0.86117538617156	0.0000000000000
23661598.895028	0.86245521839853	0.0000000000000
23680288.941548	0.86372178913694	0.0000000000000
23699008.537549	0.86497518661830	0.0000000000000
23717757.753165	0.86621549930591	0.0000000000000
23736536.658749	0.86744281586394	0.0000000000000
23755345.324881	0.86865722512738	0.0000000000000
23774183.822363	0.86985881607312	0.0000000000000
23793052.222222	0.87104767779183	0.0000000000000
23811950.595711	0.87222389946090	0.0000000000000
23830879.014308	0.87338757031825	0.0000000000000
23849837.549722	0.87453877963699	0.0000000000000
23868826.273885	0.87567761670105	0.0000000000000
23887845.258964	0.87680417078153	0.0000000000000
23906894.577352	0.87791853111405	0.0000000000000
23925974.301676	0.87902078687671	0.0000000000000
23945084.504792	0.88011102716902	0.0000000000000
23964225.259792	0.88118934099152	0.0000000000000
23983396.640000	0.88225581722611	0.0000000000000
24002598.718975	0.88331054461721	0.0000000000000
24021831.570513	0.88435361175357	0.0000000000000
24041095.268645	0.88538510705075	0.0000000000000
24060389.887640	0.88640511873441	0.0000000000000
24079715.502008	0.88741373482406	0.0000000000000
24099072.186495	0.88841104311763	0.0000000000000
24118460.016090	0.88939713117659	0.0000000000000
24137879.066023	0.89037208631162	0.0000000000000
24157329.411765	0.89133599556903	0.0000000000000
24176811.129032	0.89228894571757	0.0000000000000
24196324.293785	0.89323102323594	0.0000000000000
24215868.982229	0.89416231430079	0.0000000000000
24235445.270816	0.89508290477522	0.0000000000000
24255053.236246	0.89599288019785	0.0000000000000
24274692.955466	0.89689232577236	0.0000000000000
24294364.505673	0.89778132635753	0.0000000000000
24314067.964315	0.89865996645770	0.0000000000000
24333803.409091	0.89952833021377	0.0000000000000
24353570.917953	0.90038650139455	0.0000000000000
24373370.569106	0.90123456338865	0.0000000000000
24393202.441009	0.90207259919668	0.0000000000000
24413066.612378	0.90290069142390	0.0000000000000
24432963.162184	0.90371892227329	0.0000000000000
24452892.169657	0.90452737353896	0.0000000000000
24472853.714286	0.90532612659992	0.0000000000000
24492847.875817	0.90611526241428	0.0000000000000
24512874.734260	0.90689486151368	0.0000000000000
24532934.369885	0.90766500399817	0.0000000000000
24553026.863227	0.90842576953136	0.0000000000000
24573152.295082	0.90917723733583	0.0000000000000
24593310.746514	0.90991948618898	0.0000000000000
24613502.298851	0.91065259441905	0.0000000000000
24633727.033689	0.91137663990147	0.0000000000000
24653985.032895	0.91209170005549	0.0000000000000
24674276.378601	0.91279785184106	0.0000000000000
24694601.153213	0.91349517175601	0.0000000000000
24714959.439406	0.91418373583338	0.0000000000000
24735351.320132	0.91486361963911	0.0000000000000
24755776.878613	0.91553489826988	0.0000000000000
24776236.198347	0.91619764635119	0.0000000000000
24796729.363110	0.91685193803565	0.0000000000000
24817256.456954	0.91749784700154	0.0000000000000
24837817.564209	0.91813544645144	0.0000000000000
24858412.769486	0.91876480911122	0.0000000000000
24879042.157676	0.91938600722903	0.0000000000000
24899705.813953	0.91999911257465	0.0000000000000
24920403.823774	0.92060419643887	0.0000000000000
24941136.272879	0.92120132963313	0.0000000000000
24961903.247294	0.92179058248925	0.0000000000000
24982704.833333	0.92237202485937	0.0000000000000
25003541.117598	0.92294572611601	0.0000000000000
25024412.186978	0.92351175515225	0.0000000000000
25045318.128655	0.92407018038212	0.0000000000000
25066259.030100	0.92462106974100	0.0000000000000
25087234.979079	0.92516449068628	0.0000000000000
25108246.063652	0.92570051019805	0.0000000000000
25129292.372171	0.92622919477993	0.0000000000000
25150373.993289	0.92675061046001	0.0000000000000
25171491.015953	0.92726482279191	0.0000000000000
25192643.529412	0.92777189685589	0.0000000000000
25213831.623213	0.92827189726016	0.0000000000000
25235055.387205	0.92876488814214	0.0000000000000
25256314.911542	0.92925093316997	0.0000000000000
25277610.286678	0.92973009554392	0.0000000000000
25298941.603376	0.93020243799807	0.0000000000000
25320308.952703	0.93066802280192	0.0000000000000
25341712.426035	0.93112691176214	0.0000000000000
25363152.115059	0.93157916622439	0.0000000000000
25384628.111770	0.93202484707519	0.0000000000000
25406140.508475	0.93246401474383	0.0000000000000
25427689.397795	0.93289672920441	0.0000000000000
25449274.872666	0.93332304997785	0.0000000000000
25470897.026338	0.93374303613402	0.0000000000000
25492555.952381	0.93415674629387	0.0000000000000
25514251.744681	0.93456423863167	0.0000000000000
25535984.497445	0.93496557087721	0.0000000000000
25557754.305200	0.93536080031813	0.0000000000000
25579561.262799	0.93574998380221	0.0000000000000
25601405.465414	0.93613317773978	0.0000000000000
25623287.008547	0.93651043810608	0.0000000000000
25645205.988024	0.93688182044370	0.0000000000000
25667162.500000	0.93724737986507	0.0000000000000
25689156.640960	0.93760717105491	0.0000000000000
25711188.507719	0.93796124827278	0.0000000000000
25733258.197425	0.93830966535559	0.0000000000000
25755365.807560	0.93865247572020	0.0000000000000
25777511.435942	0.93898973236598	0.0000000000000
25799695.180723	0.93932148787739	0.0000000000000
25821917.140396	0.93964779442665	0.0000000000000
25844177.413793	0.93996870377633	0.0000000000000
25866476.100086	0.94028426728201	0.0000000000000
25888813.298791	0.94059453589495	0.0000000000000
25911189.109767	0.94089956016475	0.0000000000000
25933603.633218	0.94119939024202	0.0000000000000
25956056.969697	0.94149407588108	0.0000000000000
25978549.220104	0.94178366644265	0.0000000000000
26001080.485690	0.94206821089653	0.0000000000000
26023650.868056	0.94234775782435	0.0000000000000
26046260.469157	0.94262235542220	0.0000000000000
26068909.391304	0.94289205150342	0.0000000000000
26091597.737163	0.94315689350123	0.0000000000000
26114325.609756	0.94341692847151	0.0000000000000
26137093.112467	0.94367220309544	0.0000000000000
26159900.349040	0.94392276368225	0.0000000000000
26182747.423581	0.94416865617189	0.0000000000000
26205634.440559	0.94440992613774	0.0000000000000
26228561.504812	0.94464661878933	0.0000000000000
26251528.721541	0.94487877897495	0.0000000000000
26274536.196319	0.94510645118443	0.0000000000000
26297584.035088	0.94532967955171	0.0000000000000
26320672.344162	0.94554850785759	0.0000000000000
26343801.230228	0.94576297953234	0.0000000000000
26366970.800352	0.94597313765837	0.0000000000000
26390181.161972	0.94617902497284	0.0000000000000
26413432.422907	0.94638068387033	0.0000000000000
26436724.691358	0.94657815640542	0.0000000000000
26460058.075905	0.94677148429531	0.0000000000000
26483432.685512	0.94696070892244	0.0000000000000
26506848.629531	0.94714587133702	0.0000000000000
26530306.017699	0.94732701225966	0.0000000000000
26553804.960142	0.94750417208389	0.0000000000000
26577345.567376	0.94767739087870	0.0000000000000
26600927.950311	0.94784670839110	0.0000000000000
26624552.220249	0.94801216404863	0.0000000000000
26648218.488889	0.94817379696185	0.0000000000000
26671926.868327	0.94833164592684	0.0000000000000
26695677.471060	0.94848574942767	0.0000000000000
26719470.409982	0.94863614563885	0.0000000000000
26743305.798394	0.94878287242781	0.0000000000000
26767183.750000	0.94892596735727	0.0000000000000
26791104.378910	0.94906546768773	0.0000000000000
26815067.799642	0.94920141037979	0.0000000000000
26839074.127126	0.94933383209657	0.0000000000000
26863123.476703	0.94946276920610	0.0000000000000
26887215.964126	0.94958825778362	0.0000000000000
26911351.705566	0.94971033361393	0.0000000000000
26935530.817610	0.94982903219372	0.0000000000000
26959753.417266	0.94994438873388	0.0000000000000
26984019.621962	0.95005643816173	0.0000000000000
27008329.549550	0.95016521512334	0.0000000000000
27032683.318305	0.95027075398579	0.0000000000000
27057081.046931	0.95037308883932	0.0000000000000
27081522.854562	0.95047225349966	0.0000000000000
27106008.860759	0.95056828151013	0.0000000000000
27130539.185520	0.95066120614388	0.0000000000000
27155113.949275	0.95075106040606	0.0000000000000
27179733.272892	0.95083787703592	0.0000000000000
27204397.277677	0.95092168850900	0.0000000000000
27229106.085377	0.95100252703920	0.0000000000000
27253859.818182	0.95108042458090	0.0000000000000
27278658.598726	0.95115541283106	0.0000000000000
27303502.550091	0.95122752323122	0.0000000000000
27328391.795807	0.95129678696965	0.0000000000000
27353326.459854	0.95136323498327	0.0000000000000
27378306.666667	0.95142689795976	0.0000000000000
27403332.541133	0.95148780633949	0.0000000000000
27428404.208600	0.95154599031755	0.0000000000000
27453521.794872	0.95160147984568	0.0000000000000
27478685.426214	0.95165430463424	0.0000000000000
27503895.229358	0.95170449415415	0.0000000000000
27529151.331497	0.95175207763879	0.0000000000000
27554453.860294	0.95179708408588	0.0000000000000
27579802.943882	0.95183954225943	0.0000000000000
27605198.710866	0.95187948069155	0.0000000000000
27630641.290323	0.95191692768433	0.0000000000000
27656130.811808	0.95195191131166	0.0000000000000
27681667.405355	0.95198445942107	0.0000000000000
27707251.201479	0.95201459963554	0.0000000000000
27732882.331175	0.95204235935526	0.0000000000000
27758560.925926	0.95206776575945	0.0000000000000
27784287.117702	0.95209084580809	0.0000000000000
27810061.038961	0.95211162624367	0.0000000000000
27835882.822656	0.95213013359292	0.0000000000000
27861752.602230	0.95214639416856	0.0000000000000
27887670.511628	0.95216043407094	0.0000000000000
27913636.685289	0.95217227918980	0.0000000000000
27939651.258155	0.95218195520586	0.0000000000000
27965714.365672	0.95218948759257	0.0000000000000
27991826.143791	0.95219490161768	0.0000000000000
28017986.728972	0.95219822234490	0.0000000000000
28044196.258185	0.95219947463554	0.0000000000000
28070454.868914	0.95219868315008	0.0000000000000
28096762.699157	0.95219587234975	0.0000000000000
